id,bud.type,group,lo.doy,EOS,EOS.DOY,bud.length.x,bud.length.y,diff,total.rel.growth,lo.timing,treatment.timing,cooling.level,treat.cool.combined
S393,lateral,S,150,2023-09-20,263,4.59,15.58,10.99,70.53915275994865,late,August,Moderate,August.Moderate
S394,apical,S,148,2023-09-30,273,3.67,15.97,12.3,77.01941139636818,late,August,Moderate,August.Moderate
S394,lateral,S,148,2023-09-10,253,4.4,13.88,9.48,68.29971181556196,late,August,Moderate,August.Moderate
S395,apical,S,151,2023-09-08,251,6.36,16.32,9.96,61.029411764705884,late,August,Moderate,August.Moderate
S395,lateral,S,151,2023-09-10,253,4.52,14.05,9.530000000000001,67.82918149466192,late,August,Moderate,August.Moderate
S396,apical,S,148,2023-09-20,263,3.51,12.66,9.15,72.27488151658767,late,August,Moderate,August.Moderate
S396,lateral,S,148,2023-09-21,264,2.2,10.33,8.129999999999999,78.702807357212,late,August,Moderate,August.Moderate
S397,apical,S,148,2023-09-26,269,2.01,12.41,10.4,83.80338436744562,late,August,Moderate,August.Moderate
S397,lateral,S,148,2023-09-12,255,5.78,17.82,12.04,67.5645342312009,late,August,Moderate,August.Moderate
S398,apical,S,148,2023-09-25,268,9.52,19.57,10.05,51.35411343893714,late,August,Moderate,August.Moderate
S398,lateral,S,148,2023-09-16,259,4.59,19.49,14.899999999999999,76.44946126218574,late,August,Moderate,August.Moderate
S399,apical,S,148,2023-09-14,257,4.76,15.77,11.01,69.81610653138871,late,August,Moderate,August.Moderate
S399,lateral,S,148,2023-09-10,253,4.73,16.99,12.259999999999998,72.16009417304296,late,August,Moderate,August.Moderate
S400,apical,S,150,2023-09-14,257,4.93,14.6,9.67,66.23287671232877,late,August,Moderate,August.Moderate
S400,lateral,S,150,2023-09-22,265,3.25,13.29,10.04,75.54552294958616,late,August,Moderate,August.Moderate
S401,apical,S,150,2023-10-05,278,6.25,13.16,6.91,52.50759878419453,late,August,Moderate,August.Moderate
S401,lateral,S,150,2023-09-09,252,4.96,14.31,9.350000000000001,65.33892382948987,late,August,Moderate,August.Moderate
S402,apical,S,148,2023-09-12,255,6.53,19.6,13.07,66.68367346938776,late,August,Moderate,August.Moderate
S402,lateral,S,148,2023-09-22,265,5.08,19.15,14.069999999999999,73.47258485639688,late,August,Moderate,August.Moderate
S403,apical,S,148,2023-09-13,256,5.81,17.85,12.040000000000003,67.45098039215686,late,August,Moderate,August.Moderate
S403,lateral,S,148,2023-09-19,262,3.76,11.8,8.040000000000001,68.13559322033899,late,August,Moderate,August.Moderate
