id,group,lo.doy,cooling.level,lo.timing,treatment.timing,EOS,EOS.DOY,phenophase,treat.cool.combined
P319,P,131,Extreme,early,July,2023-12-08,342,EOS85,July.Extreme
P320,P,129,Extreme,early,July,2023-11-27,331,EOS85,July.Extreme
P322,P,129,Extreme,early,July,2023-11-27,331,EOS85,July.Extreme
P323,P,129,Extreme,early,July,2023-11-27,331,EOS85,July.Extreme
P324,P,129,Extreme,early,July,2023-11-25,329,EOS85,July.Extreme
P325,P,125,Extreme,early,July,2023-11-25,329,EOS85,July.Extreme
P326,P,131,Extreme,early,July,2023-11-26,330,EOS85,July.Extreme
P327,P,131,Extreme,early,July,2023-12-06,340,EOS85,July.Extreme
P328,P,125,Extreme,early,July,2023-12-02,336,EOS85,July.Extreme
P329,P,131,Extreme,early,July,2023-12-09,343,EOS85,July.Extreme
P331,P,131,Extreme,early,July,2023-11-27,331,EOS85,July.Extreme
P333,P,131,Extreme,early,July,2023-12-05,339,EOS85,July.Extreme
Q334,Q,148,Extreme,late,July,2023-12-04,338,EOS85,July.Extreme
Q335,Q,150,Extreme,late,July,2023-12-02,336,EOS85,July.Extreme
Q336,Q,148,Extreme,late,July,2023-12-08,342,EOS85,July.Extreme
Q337,Q,151,Extreme,late,July,2023-12-02,336,EOS85,July.Extreme
Q338,Q,148,Extreme,late,July,2023-11-23,327,EOS85,July.Extreme
Q339,Q,148,Extreme,late,July,2023-12-08,342,EOS85,July.Extreme
Q340,Q,150,Extreme,late,July,2023-12-02,336,EOS85,July.Extreme
Q341,Q,148,Extreme,late,July,2023-11-27,331,EOS85,July.Extreme
Q343,Q,148,Extreme,late,July,2023-12-01,335,EOS85,July.Extreme
Q344,Q,150,Extreme,late,July,2023-12-07,341,EOS85,July.Extreme
Q345,Q,148,Extreme,late,July,2023-12-07,341,EOS85,July.Extreme
Q346,Q,148,Extreme,late,July,2023-12-03,337,EOS85,July.Extreme
Q347,Q,150,Extreme,late,July,2023-12-04,338,EOS85,July.Extreme
Q348,Q,148,Extreme,late,July,2023-11-26,330,EOS85,July.Extreme
Q349,Q,148,Extreme,late,July,2023-12-05,339,EOS85,July.Extreme
Q350,Q,151,Extreme,late,July,2023-11-28,332,EOS85,July.Extreme
Q351,Q,148,Extreme,late,July,2023-11-25,329,EOS85,July.Extreme
Q352,Q,148,Extreme,late,July,2023-11-28,332,EOS85,July.Extreme
Q353,Q,150,Extreme,late,July,2023-12-08,342,EOS85,July.Extreme
Q354,Q,148,Extreme,late,July,2023-11-30,334,EOS85,July.Extreme
Q355,Q,148,Extreme,late,July,2023-12-06,340,EOS85,July.Extreme
Q356,Q,148,Extreme,late,July,2023-12-03,337,EOS85,July.Extreme
Q357,Q,150,Extreme,late,July,2023-11-26,330,EOS85,July.Extreme
Q359,Q,150,Extreme,late,July,2023-12-07,341,EOS85,July.Extreme
Q360,Q,148,Extreme,late,July,2023-12-05,339,EOS85,July.Extreme
R361,R,131,Moderate,early,August,2023-11-29,333,EOS85,August.Moderate
R362,R,131,Moderate,early,August,2023-11-20,324,EOS85,August.Moderate
R363,R,129,Moderate,early,August,2023-11-19,323,EOS85,August.Moderate
R364,R,131,Moderate,early,August,2023-11-19,323,EOS85,August.Moderate
R365,R,131,Moderate,early,August,2023-11-19,323,EOS85,August.Moderate
R366,R,129,Moderate,early,August,2023-11-25,329,EOS85,August.Moderate
R367,R,136,Moderate,early,August,2023-12-05,339,EOS85,August.Moderate
R368,R,129,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
R369,R,144,Moderate,early,August,2023-11-24,328,EOS85,August.Moderate
R370,R,137,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
R371,R,121,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
R373,R,125,Moderate,early,August,2023-11-20,324,EOS85,August.Moderate
R374,R,129,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
R375,R,136,Moderate,early,August,2023-11-25,329,EOS85,August.Moderate
R377,R,121,Moderate,early,August,2023-11-27,331,EOS85,August.Moderate
R378,R,125,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
R379,R,139,Moderate,early,August,2023-11-20,324,EOS85,August.Moderate
R380,R,125,Moderate,early,August,2023-11-27,331,EOS85,August.Moderate
R381,R,129,Moderate,early,August,2023-11-20,324,EOS85,August.Moderate
R382,R,136,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
R383,R,129,Moderate,early,August,2023-11-19,323,EOS85,August.Moderate
R384,R,125,Moderate,early,August,2023-11-27,331,EOS85,August.Moderate
R385,R,129,Moderate,early,August,2023-11-25,329,EOS85,August.Moderate
R386,R,125,Moderate,early,August,2023-12-05,339,EOS85,August.Moderate
R387,R,121,Moderate,early,August,2023-11-26,330,EOS85,August.Moderate
S388,S,150,Moderate,late,August,2023-12-06,340,EOS85,August.Moderate
S389,S,150,Moderate,late,August,2023-11-26,330,EOS85,August.Moderate
S390,S,148,Moderate,late,August,2023-11-27,331,EOS85,August.Moderate
S391,S,148,Moderate,late,August,2023-12-07,341,EOS85,August.Moderate
S392,S,150,Moderate,late,August,2023-11-24,328,EOS85,August.Moderate
S393,S,150,Moderate,late,August,2023-11-25,329,EOS85,August.Moderate
S394,S,148,Moderate,late,August,2023-11-26,330,EOS85,August.Moderate
S395,S,151,Moderate,late,August,2023-11-26,330,EOS85,August.Moderate
S396,S,148,Moderate,late,August,2023-12-01,335,EOS85,August.Moderate
S397,S,148,Moderate,late,August,2023-11-25,329,EOS85,August.Moderate
S398,S,148,Moderate,late,August,2023-11-20,324,EOS85,August.Moderate
S399,S,148,Moderate,late,August,2023-12-06,340,EOS85,August.Moderate
S401,S,150,Moderate,late,August,2023-12-03,337,EOS85,August.Moderate
S402,S,148,Moderate,late,August,2023-12-05,339,EOS85,August.Moderate
S403,S,148,Moderate,late,August,2023-11-24,328,EOS85,August.Moderate
S404,S,148,Moderate,late,August,2023-12-02,336,EOS85,August.Moderate
S405,S,148,Moderate,late,August,2023-11-24,328,EOS85,August.Moderate
S406,S,148,Moderate,late,August,2023-11-27,331,EOS85,August.Moderate
S407,S,150,Moderate,late,August,2023-12-01,335,EOS85,August.Moderate
S408,S,150,Moderate,late,August,2023-11-26,330,EOS85,August.Moderate
S409,S,148,Moderate,late,August,2023-12-04,338,EOS85,August.Moderate
S410,S,148,Moderate,late,August,2023-11-25,329,EOS85,August.Moderate
S411,S,148,Moderate,late,August,2023-12-03,337,EOS85,August.Moderate
S412,S,150,Moderate,late,August,2023-12-05,339,EOS85,August.Moderate
S413,S,148,Moderate,late,August,2023-11-26,330,EOS85,August.Moderate
T415,T,129,Extreme,early,August,2023-11-27,331,EOS85,August.Extreme
T416,T,145,Extreme,early,August,2023-12-05,339,EOS85,August.Extreme
T417,T,136,Extreme,early,August,2023-11-27,331,EOS85,August.Extreme
T418,T,130,Extreme,early,August,2023-12-05,339,EOS85,August.Extreme
T419,T,130,Extreme,early,August,2023-11-24,328,EOS85,August.Extreme
T420,T,129,Extreme,early,August,2023-12-03,337,EOS85,August.Extreme
T421,T,125,Extreme,early,August,2023-11-26,330,EOS85,August.Extreme
T422,T,136,Extreme,early,August,2023-11-26,330,EOS85,August.Extreme
T423,T,129,Extreme,early,August,2023-11-25,329,EOS85,August.Extreme
T424,T,136,Extreme,early,August,2023-12-02,336,EOS85,August.Extreme
T425,T,136,Extreme,early,August,2023-12-05,339,EOS85,August.Extreme
T426,T,138,Extreme,early,August,2023-12-04,338,EOS85,August.Extreme
T428,T,131,Extreme,early,August,2023-11-19,323,EOS85,August.Extreme
T429,T,131,Extreme,early,August,2023-12-06,340,EOS85,August.Extreme
T430,T,130,Extreme,early,August,2023-12-03,337,EOS85,August.Extreme
T431,T,131,Extreme,early,August,2023-12-05,339,EOS85,August.Extreme
T432,T,121,Extreme,early,August,2023-11-18,322,EOS85,August.Extreme
T433,T,129,Extreme,early,August,2023-12-02,336,EOS85,August.Extreme
T434,T,136,Extreme,early,August,2023-11-26,330,EOS85,August.Extreme
T435,T,121,Extreme,early,August,2023-11-20,324,EOS85,August.Extreme
T436,T,136,Extreme,early,August,2023-12-08,342,EOS85,August.Extreme
T437,T,131,Extreme,early,August,2023-12-05,339,EOS85,August.Extreme
T438,T,131,Extreme,early,August,2023-11-27,331,EOS85,August.Extreme
T439,T,131,Extreme,early,August,2023-11-25,329,EOS85,August.Extreme
T440,T,145,Extreme,early,August,2023-12-06,340,EOS85,August.Extreme
U442,U,148,Extreme,late,August,2023-12-06,340,EOS85,August.Extreme
U443,U,148,Extreme,late,August,2023-11-25,329,EOS85,August.Extreme
U444,U,148,Extreme,late,August,2023-12-06,340,EOS85,August.Extreme
U446,U,148,Extreme,late,August,2023-11-27,331,EOS85,August.Extreme
U447,U,148,Extreme,late,August,2023-11-26,330,EOS85,August.Extreme
U448,U,148,Extreme,late,August,2023-12-06,340,EOS85,August.Extreme
U449,U,148,Extreme,late,August,2023-11-27,331,EOS85,August.Extreme
U450,U,148,Extreme,late,August,2023-12-09,343,EOS85,August.Extreme
U451,U,148,Extreme,late,August,2023-11-27,331,EOS85,August.Extreme
U453,U,145,Extreme,late,August,2023-11-23,327,EOS85,August.Extreme
U454,U,148,Extreme,late,August,2023-11-26,330,EOS85,August.Extreme
U456,U,150,Extreme,late,August,2023-11-25,329,EOS85,August.Extreme
U457,U,148,Extreme,late,August,2023-11-26,330,EOS85,August.Extreme
U458,U,148,Extreme,late,August,2023-11-23,327,EOS85,August.Extreme
U459,U,148,Extreme,late,August,2023-12-02,336,EOS85,August.Extreme
U460,U,148,Extreme,late,August,2023-12-03,337,EOS85,August.Extreme
U461,U,148,Extreme,late,August,2023-11-25,329,EOS85,August.Extreme
U462,U,148,Extreme,late,August,2023-12-01,335,EOS85,August.Extreme
U463,U,148,Extreme,late,August,2023-12-04,338,EOS85,August.Extreme
U464,U,148,Extreme,late,August,2023-12-05,339,EOS85,August.Extreme
U465,U,148,Extreme,late,August,2023-12-04,338,EOS85,August.Extreme
U467,U,148,Extreme,late,August,2023-11-25,329,EOS85,August.Extreme
