Date-Time,temperature,light
04/04/2023 20:00,10.34,0
04/04/2023 21:00,5.36,0
04/04/2023 22:00,2.87,0
04/04/2023 23:00,2.96,0
04/05/2023 00:00,2.66,0
04/05/2023 01:00,2.53,0
04/05/2023 02:00,2.49,0
04/05/2023 03:00,2.44,0
04/05/2023 04:00,2.49,0
04/05/2023 05:00,3.13,0
04/05/2023 06:00,5.15,0
04/05/2023 07:00,6.48,0.44
04/05/2023 08:00,8.88,4894.72
04/05/2023 09:00,9.01,4742.4
04/05/2023 10:00,10.29,4796.16
04/05/2023 11:00,9.14,4463.36
04/05/2023 12:00,9.44,4358.4
04/05/2023 13:00,9.05,4202.24
04/05/2023 14:00,9.44,4199.68
04/05/2023 15:00,9.22,4145.92
04/05/2023 16:00,9.44,4149.76
04/05/2023 17:00,9.14,4079.36
04/05/2023 18:00,9.44,4085.76
04/05/2023 19:00,9.05,4015.36
04/05/2023 20:00,8.62,923.52
04/05/2023 21:00,5.02,0
04/05/2023 22:00,2.79,0
04/05/2023 23:00,2.83,0
04/06/2023 00:00,2.79,0
04/06/2023 01:00,2.61,0
04/06/2023 02:00,2.49,0
04/06/2023 03:00,2.49,0
04/06/2023 04:00,2.49,0.44
04/06/2023 05:00,2.91,0
04/06/2023 06:00,5.19,0
04/06/2023 07:00,6.52,0
04/06/2023 08:00,8.88,4238.08
04/06/2023 09:00,8.83,4071.68
04/06/2023 10:00,8.96,4026.88
04/06/2023 11:00,9.14,4037.12
04/06/2023 12:00,9.01,3987.2
04/06/2023 13:00,9.39,4037.12
04/06/2023 14:00,9.05,3980.8
04/06/2023 15:00,9.39,4029.44
04/06/2023 16:00,9.18,3994.88
04/06/2023 17:00,9.52,4019.2
04/06/2023 18:00,9.39,4005.12
04/06/2023 19:00,9.44,4008.96
04/06/2023 20:00,9.22,3955.2
04/06/2023 21:00,9.39,3991.04
04/06/2023 22:00,9.44,3997.44
04/06/2023 23:00,9.44,4008.96
04/07/2023 00:00,9.39,3994.88
04/07/2023 01:00,9.48,4012.8
04/07/2023 02:00,9.26,3959.04
04/07/2023 03:00,9.74,4029.44
04/07/2023 04:00,9.39,3959.04
04/07/2023 05:00,9.48,3997.44
04/07/2023 06:00,9.39,3980.8
04/07/2023 07:00,9.39,3997.44
04/07/2023 08:00,8.66,996.8
04/07/2023 09:00,5.4,0
04/07/2023 10:00,2.7,0
04/07/2023 11:00,2.74,0
04/07/2023 12:00,2.79,0
04/07/2023 13:00,2.7,0
04/07/2023 14:00,2.61,0
04/07/2023 15:00,2.53,0
04/07/2023 16:00,3.52,0
04/07/2023 17:00,6.65,0
04/07/2023 18:00,6.73,0
04/07/2023 19:00,7.29,1422.08
04/07/2023 20:00,8.66,4241.92
04/07/2023 21:00,9.05,4051.2
04/07/2023 22:00,9.14,3997.44
04/07/2023 23:00,9.14,3994.88
04/08/2023 00:00,9.31,3994.88
04/08/2023 01:00,9.35,3983.36
04/08/2023 02:00,9.26,3959.04
04/08/2023 03:00,9.35,3991.04
04/08/2023 04:00,9.26,3955.2
04/08/2023 05:00,9.39,3976.96
04/08/2023 06:00,9.26,3927.04
04/08/2023 07:00,9.52,4012.8
04/08/2023 08:00,8.62,1075.52
04/08/2023 09:00,5.23,0
04/08/2023 10:00,2.83,0
04/08/2023 11:00,2.91,0
04/08/2023 12:00,2.74,0
04/08/2023 13:00,2.61,0
04/08/2023 14:00,2.53,0
04/08/2023 15:00,2.44,0
04/08/2023 16:00,3.39,0
04/08/2023 17:00,6.95,0
04/08/2023 18:00,6.73,0
04/08/2023 19:00,7.38,1337.6
04/08/2023 20:00,8.71,4256
04/08/2023 21:00,9.01,4037.12
04/08/2023 22:00,9.09,3987.2
04/08/2023 23:00,9.22,3980.8
04/09/2023 00:00,9.05,3944.96
04/09/2023 01:00,9.26,3983.36
04/09/2023 02:00,9.26,3966.72
04/09/2023 03:00,9.44,3991.04
04/09/2023 04:00,9.05,3912.96
04/09/2023 05:00,9.39,3980.8
04/09/2023 06:00,9.05,3920.64
04/09/2023 07:00,9.31,3959.04
04/09/2023 08:00,8.58,1077.12
04/09/2023 09:00,5.45,0
04/09/2023 10:00,2.53,0
04/09/2023 11:00,2.74,0
04/09/2023 12:00,2.66,0
04/09/2023 13:00,2.61,0
04/09/2023 14:00,2.66,0
04/09/2023 15:00,2.53,0.44
04/09/2023 16:00,3.52,0
04/09/2023 17:00,6.65,0
04/09/2023 18:00,6.6,0
04/09/2023 19:00,7.25,1230.72
04/09/2023 20:00,8.79,4238.08
04/09/2023 21:00,9.31,4071.68
04/09/2023 22:00,8.96,3955.2
04/09/2023 23:00,9.31,4001.28
04/10/2023 00:00,9.26,3969.28
04/10/2023 01:00,9.52,3994.88
04/10/2023 02:00,9.22,3948.8
04/10/2023 03:00,9.35,3969.28
04/10/2023 04:00,9.26,3962.88
04/10/2023 05:00,9.22,3924.48
04/10/2023 06:00,9.44,3969.28
04/10/2023 07:00,9.31,3944.96
04/10/2023 08:00,8.83,1172.48
04/10/2023 09:00,5.49,0
04/10/2023 10:00,2.66,0
04/10/2023 11:00,2.87,0
04/10/2023 12:00,2.87,0
04/10/2023 13:00,2.61,0
04/10/2023 14:00,2.49,0
04/10/2023 15:00,2.57,0
04/10/2023 16:00,3.43,0
04/10/2023 17:00,6.69,0
04/10/2023 18:00,6.65,0
04/10/2023 19:00,7.16,1199.04
04/10/2023 20:00,8.92,4259.84
04/10/2023 21:00,9.22,4055.04
04/10/2023 22:00,9.09,3976.96
04/10/2023 23:00,9.26,3994.88
04/11/2023 00:00,9.14,3948.8
04/11/2023 01:00,9.44,3997.44
04/11/2023 02:00,9.26,3959.04
04/11/2023 03:00,9.52,4008.96
04/11/2023 04:00,9.31,3952.64
04/11/2023 05:00,9.61,4008.96
04/11/2023 06:00,9.48,3976.96
04/11/2023 07:00,9.44,3973.12
04/11/2023 08:00,8.62,1244.8
04/11/2023 09:00,6.09,0
04/11/2023 10:00,2.83,0
04/11/2023 11:00,2.91,0
04/11/2023 12:00,2.87,0
04/11/2023 13:00,2.7,0
04/11/2023 14:00,2.7,0
04/11/2023 15:00,2.57,0
04/11/2023 16:00,3.21,0
04/11/2023 17:00,6.73,0
04/11/2023 18:00,6.73,0
04/11/2023 19:00,7.12,1101.12
04/11/2023 20:00,8.96,4284.16
04/11/2023 21:00,8.92,4001.28
04/11/2023 22:00,9.35,4037.12
04/11/2023 23:00,9.14,3966.72
04/12/2023 00:00,9.22,3962.88
04/12/2023 01:00,9.48,4005.12
04/12/2023 02:00,9.31,3969.28
04/12/2023 03:00,9.52,3987.2
04/12/2023 04:00,9.48,3983.36
